event_id,customer_id,account_id,event_date,event_type,user_count,gb_processed,api_calls,feature_name
EVT000001,CUST001,ACC001,2023-10-20,login,40,22.28,60,Data Export
EVT000002,CUST001,ACC001,2024-10-05,login,64,7.06,93,Alerts & Notifications
EVT000003,CUST001,ACC001,2024-04-27,report_create,43,31.16,41,Custom Reports
EVT000004,CUST001,ACC001,2024-10-02,report_create,14,5.95,2,Predictive Models
EVT000005,CUST001,ACC001,2024-06-15,dashboard_view,17,28.4,47,Analytics Dashboard
EVT000006,CUST001,ACC001,2024-08-27,data_export,42,35.48,37,Custom Reports
EVT000007,CUST001,ACC001,2024-06-15,data_export,30,1.04,88,Analytics Dashboard
EVT000008,CUST001,ACC001,2024-02-13,dashboard_view,99,16.1,85,Data Export
EVT000009,CUST001,ACC001,2023-12-07,alert_trigger,34,3.01,41,Custom Reports
EVT000010,CUST001,ACC001,2024-07-09,dashboard_view,33,4.94,78,API Access
EVT000011,CUST001,ACC001,2024-07-12,dashboard_view,71,25.59,15,Data Integration
EVT000012,CUST001,ACC001,2023-11-16,login,61,44.01,87,Predictive Models
EVT000013,CUST001,ACC001,2024-07-26,dashboard_view,82,17.46,54,Alerts & Notifications
EVT000014,CUST001,ACC001,2024-10-16,login,45,45.17,98,Predictive Models
EVT000015,CUST001,ACC001,2024-09-10,dashboard_view,62,4.9,66,Analytics Dashboard
EVT000016,CUST001,ACC001,2024-06-06,login,19,29.74,47,Custom Reports
EVT000017,CUST001,ACC001,2023-11-20,login,71,27.1,50,Custom Reports
EVT000018,CUST001,ACC001,2024-09-09,login,82,6.02,28,Analytics Dashboard
EVT000019,CUST001,ACC001,2024-06-13,login,43,11.71,87,Custom Reports
EVT000020,CUST001,ACC001,2024-07-13,dashboard_view,41,9.46,65,Advanced Analytics
EVT000021,CUST001,ACC001,2024-08-04,login,67,46.97,44,White Label Branding
EVT000022,CUST001,ACC001,2024-06-24,dashboard_view,51,39.86,3,User Management
EVT000023,CUST001,ACC001,2023-12-29,dashboard_view,14,33.51,93,User Management
EVT000024,CUST001,ACC001,2024-02-03,data_export,67,29.7,7,User Management
EVT000025,CUST001,ACC001,2023-12-30,login,55,38.1,70,White Label Branding
EVT000026,CUST001,ACC001,2024-09-27,dashboard_view,12,22.65,27,User Management
EVT000027,CUST001,ACC001,2024-07-01,login,88,39.08,94,Advanced Analytics
